id,kode_provinsi,nama_provinsi,perangkat_daerah,kelompok_usia,jumlah_pppk,satuan,tahun
1,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,16-20,0,ORANG,2021
2,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,21-25,0,ORANG,2021
3,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,26-30,0,ORANG,2021
4,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,31-35,2,ORANG,2021
5,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,36-40,0,ORANG,2021
6,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,41-45,0,ORANG,2021
7,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,46-50,0,ORANG,2021
8,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,51-55,0,ORANG,2021
9,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,56-60,0,ORANG,2021
10,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,61-65,0,ORANG,2021
11,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,>65,0,ORANG,2021
12,32,JAWA BARAT,DINAS PENDIDIKAN,16-20,0,ORANG,2021
13,32,JAWA BARAT,DINAS PENDIDIKAN,21-25,0,ORANG,2021
14,32,JAWA BARAT,DINAS PENDIDIKAN,26-30,0,ORANG,2021
15,32,JAWA BARAT,DINAS PENDIDIKAN,31-35,1,ORANG,2021
16,32,JAWA BARAT,DINAS PENDIDIKAN,36-40,83,ORANG,2021
17,32,JAWA BARAT,DINAS PENDIDIKAN,41-45,264,ORANG,2021
18,32,JAWA BARAT,DINAS PENDIDIKAN,46-50,171,ORANG,2021
19,32,JAWA BARAT,DINAS PENDIDIKAN,51-55,124,ORANG,2021
20,32,JAWA BARAT,DINAS PENDIDIKAN,56-60,32,ORANG,2021
21,32,JAWA BARAT,DINAS PENDIDIKAN,61-65,1,ORANG,2021
22,32,JAWA BARAT,DINAS PENDIDIKAN,>65,0,ORANG,2021
23,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,16-20,0,ORANG,2021
24,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,21-25,0,ORANG,2021
25,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,26-30,1,ORANG,2021
26,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,31-35,7,ORANG,2021
27,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,36-40,16,ORANG,2021
28,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,41-45,11,ORANG,2021
29,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,46-50,17,ORANG,2021
30,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,51-55,13,ORANG,2021
31,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,56-60,7,ORANG,2021
32,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,61-65,0,ORANG,2021
33,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURA,>65,0,ORANG,2021
